Field_ID,User_ID,User_Rating,Field_Name,Field_Rating,Field_Types
14,5737,5,Kuningan Village Futsal Field 1,4.2,Futsal
10,4053,3,AS FUTSAL,4.5,Futsal
12,4697,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,5012,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
20,8638,5,Tunas Bugar Badminton Hall,4.5,Badminton
1,305,5,Champion Futsal,4.5,Futsal
18,7499,5,GOR Badminton Mega Kuningan,4.2,Badminton
5,2352,4,GOR Kurnia Badminton Court,4.3,Badminton
14,6269,5,Kuningan Village Futsal Field 1,4.3,Futsal
13,5448,5,Pelangi Futsal,4.2,Futsal
5,2257,5,GOR Kurnia Badminton Court,4.2,Badminton
10,3751,5,AS FUTSAL,4.5,Futsal
6,2732,2,Lapangan Bulu Tangkis Patra,4.5,Badminton
12,5024,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,5013,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,4532,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
20,8482,5,Tunas Bugar Badminton Hall,4.3,Badminton
14,5969,5,Kuningan Village Futsal Field 1,4.2,Futsal
19,7943,5,Cililitan Badminton Hall,4.5,Badminton
